event_id,date,year,month,city,latitude,longitude,narrative_type,tone_score,mentions,description,sector_reference
1,2021-12-27,2021,12,London,51.5074,-0.1278,Deepfake Executive Announcement,-7,25,This event involved a deepfake executive announcement reported in London.,Financial Sector
2,2024-04-14,2024,4,London,51.5074,-0.1278,Synthetic Regulatory Announcement,-5,24,This event involved a synthetic regulatory announcement reported in London.,Financial Sector
3,2024-09-08,2024,9,Birmingham,52.4862,-1.8904,Deepfake Executive Announcement,-3,12,This event involved a deepfake executive announcement reported in Birmingham.,Financial Sector
4,2020-10-22,2020,10,Birmingham,52.4862,-1.8904,AI-Generated Interest Rate Rumour,-2,35,This event involved a ai-generated interest rate rumour reported in Birmingham.,Financial Sector
5,2024-08-16,2024,8,London,51.5074,-0.1278,Synthetic Regulatory Announcement,-4,28,This event involved a synthetic regulatory announcement reported in London.,Financial Sector
6,2024-01-04,2024,1,London,51.5074,-0.1278,Fraudulent Investment Scheme,-10,34,This event involved a fraudulent investment scheme reported in London.,Financial Sector
7,2022-11-01,2022,11,Leeds,53.8008,-1.5491,Fake Insolvency Rumour,0,16,This event involved a fake insolvency rumour reported in Leeds.,Financial Sector
8,2020-06-17,2020,6,Birmingham,52.4862,-1.8904,AI-Generated Interest Rate Rumour,-10,10,This event involved a ai-generated interest rate rumour reported in Birmingham.,Financial Sector
9,2021-02-24,2021,2,London,51.5074,-0.1278,Fraudulent Investment Scheme,-6,7,This event involved a fraudulent investment scheme reported in London.,Financial Sector
10,2020-10-28,2020,10,Manchester,53.4808,-2.2426,Fake Insolvency Rumour,-8,18,This event involved a fake insolvency rumour reported in Manchester.,Financial Sector
11,2024-08-05,2024,8,Leeds,53.8008,-1.5491,Synthetic Regulatory Announcement,-6,10,This event involved a synthetic regulatory announcement reported in Leeds.,Financial Sector
12,2022-04-25,2022,4,London,51.5074,-0.1278,Synthetic Regulatory Announcement,-5,5,This event involved a synthetic regulatory announcement reported in London.,Financial Sector
13,2024-03-09,2024,3,Manchester,53.4808,-2.2426,Synthetic Regulatory Announcement,-6,15,This event involved a synthetic regulatory announcement reported in Manchester.,Financial Sector
14,2021-08-24,2021,8,Manchester,53.4808,-2.2426,Synthetic Regulatory Announcement,-3,31,This event involved a synthetic regulatory announcement reported in Manchester.,Financial Sector
15,2020-06-07,2020,6,Birmingham,52.4862,-1.8904,Deepfake Executive Announcement,-6,29,This event involved a deepfake executive announcement reported in Birmingham.,Financial Sector
16,2021-02-23,2021,2,London,51.5074,-0.1278,Deepfake Executive Announcement,-4,30,This event involved a deepfake executive announcement reported in London.,Financial Sector
17,2021-04-15,2021,4,Manchester,53.4808,-2.2426,Synthetic Regulatory Announcement,-6,26,This event involved a synthetic regulatory announcement reported in Manchester.,Financial Sector
18,2021-07-12,2021,7,London,51.5074,-0.1278,Fake Insolvency Rumour,-8,7,This event involved a fake insolvency rumour reported in London.,Financial Sector
19,2024-08-08,2024,8,London,51.5074,-0.1278,Fake Insolvency Rumour,-7,7,This event involved a fake insolvency rumour reported in London.,Financial Sector
20,2020-03-28,2020,3,London,51.5074,-0.1278,Deepfake Executive Announcement,-7,23,This event involved a deepfake executive announcement reported in London.,Financial Sector
21,2023-07-30,2023,7,London,51.5074,-0.1278,False Cyberattack Alert,-6,17,This event involved a false cyberattack alert reported in London.,Financial Sector
22,2023-06-11,2023,6,Birmingham,52.4862,-1.8904,Deepfake Executive Announcement,-5,28,This event involved a deepfake executive announcement reported in Birmingham.,Financial Sector
23,2020-06-17,2020,6,Leeds,53.8008,-1.5491,AI-Generated Interest Rate Rumour,-5,10,This event involved a ai-generated interest rate rumour reported in Leeds.,Financial Sector
24,2022-01-30,2022,1,Birmingham,52.4862,-1.8904,AI-Generated Interest Rate Rumour,-1,23,This event involved a ai-generated interest rate rumour reported in Birmingham.,Financial Sector
25,2023-06-25,2023,6,Leeds,53.8008,-1.5491,False Cyberattack Alert,-7,27,This event involved a false cyberattack alert reported in Leeds.,Financial Sector
26,2021-07-12,2021,7,London,51.5074,-0.1278,Fraudulent Investment Scheme,-6,32,This event involved a fraudulent investment scheme reported in London.,Financial Sector
27,2023-07-22,2023,7,London,51.5074,-0.1278,Fake Insolvency Rumour,-8,35,This event involved a fake insolvency rumour reported in London.,Financial Sector
28,2020-12-24,2020,12,Leeds,53.8008,-1.5491,Fraudulent Investment Scheme,-7,12,This event involved a fraudulent investment scheme reported in Leeds.,Financial Sector
29,2024-01-02,2024,1,London,51.5074,-0.1278,Fake Insolvency Rumour,0,27,This event involved a fake insolvency rumour reported in London.,Financial Sector
30,2023-05-08,2023,5,Manchester,53.4808,-2.2426,Fake Insolvency Rumour,-6,17,This event involved a fake insolvency rumour reported in Manchester.,Financial Sector
31,2021-10-09,2021,10,London,51.5074,-0.1278,Fake Insolvency Rumour,-10,34,This event involved a fake insolvency rumour reported in London.,Financial Sector
32,2021-09-24,2021,9,Birmingham,52.4862,-1.8904,Deepfake Executive Announcement,-4,27,This event involved a deepfake executive announcement reported in Birmingham.,Financial Sector
33,2024-10-08,2024,10,Birmingham,52.4862,-1.8904,False Cyberattack Alert,-7,23,This event involved a false cyberattack alert reported in Birmingham.,Financial Sector
34,2022-06-06,2022,6,Birmingham,52.4862,-1.8904,Deepfake Executive Announcement,-2,34,This event involved a deepfake executive announcement reported in Birmingham.,Financial Sector
35,2024-08-13,2024,8,Manchester,53.4808,-2.2426,Fake Insolvency Rumour,-4,35,This event involved a fake insolvency rumour reported in Manchester.,Financial Sector
36,2020-03-11,2020,3,Manchester,53.4808,-2.2426,Fake Insolvency Rumour,0,20,This event involved a fake insolvency rumour reported in Manchester.,Financial Sector
37,2024-09-18,2024,9,Bristol,51.4545,-2.5879,Synthetic Regulatory Announcement,-3,9,This event involved a synthetic regulatory announcement reported in Bristol.,Financial Sector
38,2020-01-30,2020,1,Manchester,53.4808,-2.2426,Fake Insolvency Rumour,-6,28,This event involved a fake insolvency rumour reported in Manchester.,Financial Sector
39,2022-07-31,2022,7,London,51.5074,-0.1278,False Cyberattack Alert,-4,20,This event involved a false cyberattack alert reported in London.,Financial Sector
40,2022-10-01,2022,10,London,51.5074,-0.1278,False Cyberattack Alert,-7,21,This event involved a false cyberattack alert reported in London.,Financial Sector
41,2023-12-30,2023,12,London,51.5074,-0.1278,Synthetic Regulatory Announcement,-9,14,This event involved a synthetic regulatory announcement reported in London.,Financial Sector
42,2022-09-17,2022,9,London,51.5074,-0.1278,Synthetic Regulatory Announcement,-8,18,This event involved a synthetic regulatory announcement reported in London.,Financial Sector
43,2022-07-11,2022,7,London,51.5074,-0.1278,Fake Insolvency Rumour,-5,8,This event involved a fake insolvency rumour reported in London.,Financial Sector
44,2024-12-17,2024,12,Birmingham,52.4862,-1.8904,Deepfake Executive Announcement,-3,29,This event involved a deepfake executive announcement reported in Birmingham.,Financial Sector
45,2023-11-07,2023,11,Birmingham,52.4862,-1.8904,Synthetic Regulatory Announcement,-3,24,This event involved a synthetic regulatory announcement reported in Birmingham.,Financial Sector
46,2021-05-20,2021,5,Leeds,53.8008,-1.5491,Fake Insolvency Rumour,-7,24,This event involved a fake insolvency rumour reported in Leeds.,Financial Sector
47,2022-07-09,2022,7,London,51.5074,-0.1278,Fake Insolvency Rumour,-7,26,This event involved a fake insolvency rumour reported in London.,Financial Sector
